접수년도,대학가,법정동명,행정동명,20대 인구 합계
2023,서울시립대,답십리동,답십리1동,3821
2023,서울시립대,답십리동,답십리2동,3190
2023,서울시립대,전농동,전농1동,4849
2023,서울시립대,전농동,전농2동,2006
2023,서울시립대,청량리동,청량리동,2237
2023,서울시립대,휘경동,휘경1동,3690
2023,서울시립대,휘경동,휘경2동,5843
2023,홍익대,상수동,서강동,4709
2023,홍익대,서교동,서교동,5916
2023,홍익대,합정동,합정동,3016
2024,서울교대,서초동,서초1동,2633
2024,서울교대,서초동,서초2동,3241
2024,서울교대,서초동,서초3동,5168
2024,서울교대,서초동,서초4동,3401
2024,서울대,봉천동,낙성대동,5717
2024,서울대,봉천동,보라매동,4226
2024,서울대,봉천동,성현동,3462
2024,서울대,봉천동,은천동,4944
2024,서울대,봉천동,인헌동,5558
2024,서울대,봉천동,중앙동,4404
2024,서울대,봉천동,청룡동,11513
2024,서울대,봉천동,청림동,1589
2024,서울대,봉천동,행운동,7292
2024,서울대,신림동,난곡동,3274
2024,서울대,신림동,난향동,1545
2024,서울대,신림동,대학동,6422
2024,서울대,신림동,미성동,4067
2024,서울대,신림동,삼성동,1951
2024,서울대,신림동,서림동,5388
2024,서울대,신림동,서원동,6247
2024,서울대,신림동,신림동,8624
2024,서울대,신림동,신사동,5868
2024,서울대,신림동,신원동,3960
2024,서울대,신림동,조원동,4240
2024,서울시립대,답십리동,답십리1동,3741
2024,서울시립대,답십리동,답십리2동,2978
2024,서울시립대,전농동,전농1동,4960
2024,서울시립대,전농동,전농2동,1912
2024,서울시립대,청량리동,청량리동,2174
2024,서울시립대,휘경동,휘경1동,3629
2024,서울시립대,휘경동,휘경2동,5682
2024,홍익대,상수동,서강동,4674
2024,홍익대,서교동,서교동,5634
2024,홍익대,합정동,합정동,2780
